номер_опоры;Сечение воздуховода;Ширина/диаметр воздуховода;Нагрузка;Шаг опор;Максимальная высота опоры
Н7.2.1-1.1;Прямоугольный;200;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-1.2;Прямоугольный;400;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-1.3;Прямоугольный;600;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-2.1;Прямоугольный;800;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-2.2;Прямоугольный;1000;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-2.3;Прямоугольный;1200;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-2.4;Прямоугольный;1400;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-3.1;Прямоугольный;1600;Собственный вес воздуховода в изоляции;3;1000
Н7.2.1-4.1;Прямоугольный;200;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-4.2;Прямоугольный;400;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-4.3;Прямоугольный;600;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-4.4;Прямоугольный;800;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;1000
Н7.2.1-5.1;Прямоугольный;1000;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;750
Н7.2.1-5.2;Прямоугольный;1200;Собственный вес воздуховода в изоляции+снег (III снеговой район);3;750
Н7.2.1-5.3;Прямоугольный;1400;Собственный вес воздуховода в изоляции+снег (III снеговой район);2.5;750
Н7.2.1-5.4;Прямоугольный;1600;Собственный вес воздуховода в изоляции+снег (III снеговой район);2;750
Н7.2.1-6.1;Прямоугольный;200;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;750
Н7.2.1-6.2;Прямоугольный;400;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;750
Н7.2.1-6.3;Прямоугольный;600;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;750
Н7.2.1-6.4;Прямоугольный;800;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;3;750
Н7.2.1-6.5;Прямоугольный;1000;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;2.5;750
Н7.2.1-6.6;Прямоугольный;1200;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;2;750
Н7.2.1-6.7;Прямоугольный;1400;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;1.5;750
Н7.2.1-6.8;Прямоугольный;1600;Собственный вес воздуховода в изоляции+снег (III снеговой район)+ветер 60кг на м2;1.5;750
Н7.2.1-7.1;Круглый;80;Собственный вес воздуховода в изоляции;3;1000
