номер_опоры;крепление_к;разводка;тип_воздуховода;диаметр/ширина;выстота;расстояние_от_стены_до_оси_воздуховода;насквозь
ОВ-1.1-1;Железобетон;Горизонтальная/потолок;Круглый;100;;;
ОВ-1.1-2;Железобетон;Горизонтальная/потолок;Круглый;125;;;
ОВ-1.1-3;Железобетон;Горизонтальная/потолок;Круглый;140;;;
ОВ-1.1-4;Железобетон;Горизонтальная/потолок;Круглый;150;;;
ОВ-1.1-5;Железобетон;Горизонтальная/потолок;Круглый;160;;;
ОВ-1.1-6;Железобетон;Горизонтальная/потолок;Круглый;180;;;
ОВ-1.1-7;Железобетон;Горизонтальная/потолок;Круглый;200;;;
ОВ-1.1-8;Железобетон;Горизонтальная/потолок;Круглый;225;;;
ОВ-1.1-9;Железобетон;Горизонтальная/потолок;Круглый;250;;;
ОВ-1.1-10;Железобетон;Горизонтальная/потолок;Круглый;280;;;
ОВ-1.1-11;Железобетон;Горизонтальная/потолок;Круглый;300;;;
ОВ-1.1-12;Железобетон;Горизонтальная/потолок;Круглый;315;;;
ОВ-1.1-13;Железобетон;Горизонтальная/потолок;Круглый;355;;;
ОВ-1.1-14;Железобетон;Горизонтальная/потолок;Круглый;400;;;
ОВ-1.2-1;Железобетон;Горизонтальная/потолок;Круглый;450;;;
ОВ-1.2-2;Железобетон;Горизонтальная/потолок;Круглый;500;;;
ОВ-1.2-3;Железобетон;Горизонтальная/потолок;Круглый;560;;;
ОВ-1.2-4;Железобетон;Горизонтальная/потолок;Круглый;600;;;
ОВ-1.2-5;Железобетон;Горизонтальная/потолок;Круглый;630;;;
ОВ-1.2-6;Железобетон;Горизонтальная/потолок;Круглый;710;;;
ОВ-1.2-7;Железобетон;Горизонтальная/потолок;Круглый;800;;;
ОВ-1.2-8;Железобетон;Горизонтальная/потолок;Круглый;900;;;
ОВ-1.2-9;Железобетон;Горизонтальная/потолок;Круглый;1000;;;
ОВ-1.2-10;Железобетон;Горизонтальная/потолок;Круглый;1120;;;
ОВ-1.2-11;Железобетон;Горизонтальная/потолок;Круглый;1250;;;
ОВ-1.3-1;Железобетон;Горизонтальная/потолок;Прямоугольный;200;;;
ОВ-1.3-2;Железобетон;Горизонтальная/потолок;Прямоугольный;400;;;
ОВ-1.3-3;Железобетон;Горизонтальная/потолок;Прямоугольный;600;;;
ОВ-1.3-4;Железобетон;Горизонтальная/потолок;Прямоугольный;800;;;
ОВ-1.3-5;Железобетон;Горизонтальная/потолок;Прямоугольный;1000;;;
ОВ-1.3-6;Железобетон;Горизонтальная/потолок;Прямоугольный;1200;;;
ОВ-1.3-7;Железобетон;Горизонтальная/потолок;Прямоугольный;1400;;;
ОВ-1.3-8;Железобетон;Горизонтальная/потолок;Прямоугольный;1600;;;
ОВ-1.3-9;Железобетон;Горизонтальная/потолок;Прямоугольный;1800;;;
ОВ-1.3-10;Железобетон;Горизонтальная/потолок;Прямоугольный;2000;;;
ОВ-1.4-1;Железобетон;Горизонтальная/стена;Круглый;100;;550;
ОВ-1.4-2;Железобетон;Горизонтальная/стена;Круглый;125;;550;
ОВ-1.4-3;Железобетон;Горизонтальная/стена;Круглый;140;;550;
ОВ-1.4-4;Железобетон;Горизонтальная/стена;Круглый;150;;550;
ОВ-1.4-5;Железобетон;Горизонтальная/стена;Круглый;160;;550;
ОВ-1.4-6;Железобетон;Горизонтальная/стена;Круглый;180;;550;
ОВ-1.4-7;Железобетон;Горизонтальная/стена;Круглый;200;;550;
ОВ-1.4-8;Железобетон;Горизонтальная/стена;Круглый;224;;550;
ОВ-1.4-9;Железобетон;Горизонтальная/стена;Круглый;250;;550;
ОВ-1.4-10;Железобетон;Горизонтальная/стена;Круглый;280;;550;
ОВ-1.4-11;Железобетон;Горизонтальная/стена;Круглый;300;;550;
ОВ-1.4-12;Железобетон;Горизонтальная/стена;Круглый;315;;550;
ОВ-1.4-13;Железобетон;Горизонтальная/стена;Круглый;355;;550;
ОВ-1.4-14;Железобетон;Горизонтальная/стена;Круглый;400;;550;
ОВ-1.5-1;Железобетон;Горизонтальная/стена;Круглый;450;;600;
ОВ-1.5-2;Железобетон;Горизонтальная/стена;Круглый;500;;600;
ОВ-1.5-3;Железобетон;Горизонтальная/стена;Круглый;560;;600;
ОВ-1.5-4;Железобетон;Горизонтальная/стена;Круглый;600;;600;
ОВ-1.5-5;Железобетон;Горизонтальная/стена;Круглый;630;;600;
ОВ-1.5-6;Железобетон;Горизонтальная/стена;Круглый;710;;600;
ОВ-1.5-7;Железобетон;Горизонтальная/стена;Круглый;800;;760;
ОВ-1.5-8;Железобетон;Горизонтальная/стена;Круглый;900;;760;
ОВ-1.5-9;Железобетон;Горизонтальная/стена;Круглый;1000;;760;
ОВ-1.5-10;Железобетон;Горизонтальная/стена;Круглый;1120;;760;
ОВ-1.5-11;Железобетон;Горизонтальная/стена;Круглый;1250;;850;
ОВ-1.6-1;Железобетон;Горизонтальная/стена;Прямоугольный;200;;250;
ОВ-1.6-2;Железобетон;Горизонтальная/стена;Прямоугольный;400;;300;
ОВ-1.6-3;Железобетон;Горизонтальная/стена;Прямоугольный;600;;500;
