номер_опоры;материал_основания;горизонтальный/вертикальный;крепление_к;тип_воздуховода;диаметр/ширина;Ключ
Н7.0.3-1.1.1;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;100;Железобетон/кирпичГоризонтальныйНетДа100
Н7.0.3-1.1.2;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;125;Железобетон/кирпичГоризонтальныйНетДа125
Н7.0.3-1.1.3;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;140;Железобетон/кирпичГоризонтальныйНетДа140
Н7.0.3-1.1.4;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;150;Железобетон/кирпичГоризонтальныйНетДа150
Н7.0.3-1.1.5;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;160;Железобетон/кирпичГоризонтальныйНетДа160
Н7.0.3-1.1.6;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;180;Железобетон/кирпичГоризонтальныйНетДа180
Н7.0.3-1.1.7;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;200;Железобетон/кирпичГоризонтальныйНетДа200
Н7.0.3-1.1.8;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;224;Железобетон/кирпичГоризонтальныйНетДа224
Н7.0.3-1.1.9;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;250;Железобетон/кирпичГоризонтальныйНетДа250
Н7.0.3-1.1.10;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;280;Железобетон/кирпичГоризонтальныйНетДа280
Н7.0.3-1.1.11;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;300;Железобетон/кирпичГоризонтальныйНетДа300
Н7.0.3-1.1.12;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;315;Железобетон/кирпичГоризонтальныйНетДа315
Н7.0.3-1.1.13;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;355;Железобетон/кирпичГоризонтальныйНетДа355
Н7.0.3-1.1.14;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;400;Железобетон/кирпичГоризонтальныйНетДа400
Н7.0.3-1.2.1;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;450;Железобетон/кирпичГоризонтальныйНетДа450
Н7.0.3-1.2.2;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;500;Железобетон/кирпичГоризонтальныйНетДа500
Н7.0.3-1.2.3;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;560;Железобетон/кирпичГоризонтальныйНетДа560
Н7.0.3-1.2.4;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;600;Железобетон/кирпичГоризонтальныйНетДа600
Н7.0.3-1.2.5;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;630;Железобетон/кирпичГоризонтальныйНетДа630
Н7.0.3-1.2.6;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;710;Железобетон/кирпичГоризонтальныйНетДа710
Н7.0.3-1.2.7;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;800;Железобетон/кирпичГоризонтальныйНетДа800
Н7.0.3-1.2.8;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;900;Железобетон/кирпичГоризонтальныйНетДа900
Н7.0.3-1.2.9;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;1000;Железобетон/кирпичГоризонтальныйНетДа1000
Н7.0.3-1.2.10;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;1120;Железобетон/кирпичГоризонтальныйНетДа1120
Н7.0.3-1.2.11;Железобетон/кирпич;Горизонтальный;Потолок;Круглый;1250;Железобетон/кирпичГоризонтальныйНетДа1250
Н7.0.3-1.3.1;Железобетон/кирпич;Горизонтальный;Потолок;Прямоугольный;200;Железобетон/кирпичГоризонтальныйНетНет200
Н7.0.3-1.3.2;Железобетон/кирпич;Горизонтальный;Потолок;Прямоугольный;400;Железобетон/кирпичГоризонтальныйНетНет400
Н7.0.3-1.3.3;Железобетон/кирпич;Горизонтальный;Потолок;Прямоугольный;600;Железобетон/кирпичГоризонтальныйНетНет600
Н7.0.3-1.3.4;Железобетон/кирпич;Горизонтальный;Потолок;Прямоугольный;800;Железобетон/кирпичГоризонтальныйНетНет800
Н7.0.3-1.3.5;Железобетон/кирпич;Горизонтальный;Потолок;Прямоугольный;1000;Железобетон/кирпичГоризонтальныйНетНет1000
Н7.0.3-1.3.6;Железобетон/кирпич;Горизонтальный;Потолок;Прямоугольный;1200;Железобетон/кирпичГоризонтальныйНетНет1200
Н7.0.3-1.3.7;Железобетон/кирпич;Горизонтальный;Потолок;Прямоугольный;1400;Железобетон/кирпичГоризонтальныйНетНет1400
