номер_опоры;длина_вентилятора;ширина_вентилятора;высота_вентилятора;вес_вентилятора;производитель;расстояние_от_кровли;наличие_подкосов;
Н7.1-Р1-1;1066;901;1135;150;;500;да;
Н7.1-Р1-2;1066;901;1135;150;;500;нет;ветер не учитывался
Н7.1-Р1-3;1066;901;1135;150;;75;нет;
Н7.1-Р2-1.1;1329;1100;1359;246;;500;да;
Н7.1-Р2-2.1;1220;1087;1300;195;;500;да;
Н7.1-Р2-3;1329;1100;1359;246;;75;нет;
Н7.1-Р3-1.1;1895;1501;1936;770;;500;да;
Н7.1-Р3-2.1;1824;1461;1968;445;;500;да;
Н7.1-Р3-3.1;1895;1501;1936;770;ВЕЗА, VKT, НЗВЗ;75;нет;
Н7.1-Р3-3.2;1824;1461;1968;770;KORF, NED;75;нет;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;"eцвжз-аш90гоehj;\' rc\";;
;;;;;; ;;
