номер_опоры;материал_основания;разводка;диаметр_трубы;шаг_опор;нагрузка_на_профлист(гофра менее 57мм);нагрузка_на_профлист(гофра более 57мм);;наружный_диаметр
H6.1.1-1.1;Железобетон;Горизонтальная в потолок;15;2.5;;;;
H6.1.1-1.2;Железобетон;Горизонтальная в потолок;20;3;;;;
H6.1.1-1.3;Железобетон;Горизонтальная в потолок;25;3.5;;;;
H6.1.1-1.4;Железобетон;Горизонтальная в потолок;32;4;;;;
H6.1.1-1.5;Железобетон;Горизонтальная в потолок;40;4.5;;;;
H6.1.1-1.6;Железобетон;Горизонтальная в потолок;50;5;;;;
H6.1.1-1.7;Железобетон;Горизонтальная в потолок;65;6;;;;
H6.1.1-1.8;Железобетон;Горизонтальная в потолок;80;6;;;;
H6.1.1-1.9;Железобетон;Горизонтальная в потолок;100;6;;;;
H6.1.1-1.10;Железобетон;Горизонтальная в потолок;125;6;;;;
H6.1.1-1.11;Железобетон;Горизонтальная в потолок;150;7;;;;
H6.1.1-1.12;Железобетон;Горизонтальная в потолок;200;7;;;;
H6.1.1-1.13;Железобетон;Горизонтальная в потолок;250;5.5;;;;
H6.1.1-1.14;Железобетон;Горизонтальная в потолок;300;4;;;;
H6.1.1-2.1;Ребристые плиты перекрытия;Горизонтальная в потолок;15;2.5;;;;
H6.1.1-2.2;Ребристые плиты перекрытия;Горизонтальная в потолок;20;3;;;;
H6.1.1-2.3;Ребристые плиты перекрытия;Горизонтальная в потолок;25;3.5;;;;
H6.1.1-2.4;Ребристые плиты перекрытия;Горизонтальная в потолок;32;4;;;;
H6.1.1-2.5;Ребристые плиты перекрытия;Горизонтальная в потолок;40;4.5;;;;
H6.1.1-2.6;Ребристые плиты перекрытия;Горизонтальная в потолок;50;5;;;;
H6.1.1-2.7;Ребристые плиты перекрытия;Горизонтальная в потолок;65;6;;;;
H6.1.1-2.8;Ребристые плиты перекрытия;Горизонтальная в потолок;80;6;;;;
H6.1.1-2.9;Ребристые плиты перекрытия;Горизонтальная в потолок;100;6;;;;
H6.1.1-3.1;Металлоконструкции (швеллер или двутавр без уклона);Горизонтальная в потолок;15;2.5;;;;
H6.1.1-3.2;Металлоконструкции (швеллер или двутавр без уклона);Горизонтальная в потолок;20;3;;;;
H6.1.1-3.3;Металлоконструкции (швеллер или двутавр без уклона);Горизонтальная в потолок;25;3.5;;;;
H6.1.1-3.4;Металлоконструкции (швеллер или двутавр без уклона);Горизонтальная в потолок;32;4;;;;
H6.1.1-3.5;Металлоконструкции (швеллер или двутавр без уклона);Горизонтальная в потолок;40;4.5;;;;
H6.1.1-3.6;Металлоконструкции (швеллер или двутавр без уклона);Горизонтальная в потолок;50;5;;;;
H6.1.1-3.7;Металлоконструкции (швеллер или двутавр без уклона);Горизонтальная в потолок;65;6;;;;
