номер_опоры;материал_основания;горизонтальный/вертикальный;крепление_к;условный диаметр трубы;вылет;max вертик.нагрузка;исполнение;диапазон_диаметров;тип_опоры;кол-во_труб
H6.0.1-1.1;Железобетон;Горизонтальный;Стена;8;50;0.15;1;ноя.15;Рядовая опора;1
H6.0.1-1.2;Железобетон;Горизонтальный;Стена;10;50;0.15;2;16-19;Рядовая опора;1
H6.0.1-1.3;Железобетон;Горизонтальный;Стена;15;50;0.15;3;20-24;Рядовая опора;1
H6.0.1-1.4;Железобетон;Горизонтальный;Стена;20;50;0.15;4;25-28;Рядовая опора;1
H6.0.1-1.5;Железобетон;Горизонтальный;Стена;25;50;0.15;5;32-35;Рядовая опора;1
H6.0.1-1.6;Железобетон;Горизонтальный;Стена;32;50;0.15;6;39-46;Рядовая опора;1
H6.0.1-1.7;Железобетон;Горизонтальный;Стена;40;50;0.15;7;48-53;Рядовая опора;1
H6.0.1-1.8;Железобетон;Горизонтальный;Стена;50;50;0.15;8;53-58;Рядовая опора;1
H6.0.1-1.9;Железобетон;Горизонтальный;Стена;50;50;0.15;9;60-65;Рядовая опора;1
H6.0.1-1.10;Железобетон;Горизонтальный;Стена;60;50;0.15;10;67-71;Рядовая опора;1
H6.0.1-1.11;Железобетон;Горизонтальный;Стена;65;100;0.15;11;74-80;Рядовая опора;1
H6.0.1-1.12;Железобетон;Горизонтальный;Стена;70;100;0.15;12;81-86;Рядовая опора;1
H6.0.1-1.13;Железобетон;Горизонтальный;Стена;80;100;0.15;13;88-94;Рядовая опора;1
H6.0.1-1.14;Железобетон;Горизонтальный;Стена;90;100;0.15;14;99-105;Рядовая опора;1
H6.0.1-1.15;Железобетон;Горизонтальный;Стена;100;100;0.15;15;108-116;Рядовая опора;1
H6.0.1-1.16;Железобетон;Горизонтальный;Стена;110;150;0.15;16;120-130;Рядовая опора;1
H6.0.1-1.17;Железобетон;Горизонтальный;Стена;125;150;0.15;17;135-143;Рядовая опора;1
H6.0.1-1.18;Железобетон;Горизонтальный;Стена;140;150;0.15;18;145-155;Рядовая опора;1
H6.0.1-1.19;Железобетон;Горизонтальный;Стена;150;150;0.15;19;162-170;Рядовая опора;1
H6.0.1-1.20;Железобетон;Горизонтальный;Стена;175;200;0.3;20;195-205;Рядовая опора;1
H6.0.1-1.21;Железобетон;Горизонтальный;Стена;200;200;0.3;21;207-219;Рядовая опора;1
H6.0.1-1.22;Железобетон;Горизонтальный;Стена;225;200;0.3;22;248-255;Рядовая опора;1
H6.0.1-1.23;Железобетон;Горизонтальный;Стена;250;200;0.3;23;260-274;Рядовая опора;1
H6.0.1-2.1;Железобетон;Вертикальный;Стена;8;50;0.15;1;ноя.15;Рядовая опора;1
H6.0.1-2.2;Железобетон;Вертикальный;Стена;10;50;0.15;2;16-19;Рядовая опора;1
H6.0.1-2.3;Железобетон;Вертикальный;Стена;15;50;0.15;3;20-24;Рядовая опора;1
H6.0.1-2.4;Железобетон;Вертикальный;Стена;20;50;0.15;4;25-28;Рядовая опора;1
